,course_level,course_rating,course_title,course_type,link,skills
89,intermediate,4.6,tensorflow data and deployment,['specialization'],httpswwwcourseraorgspecializationstensorflowdataanddeployment,machine learning tensorflow advanced deployment object detection javascript
90,beginner,4.7,academic english writing,['specialization'],httpswwwcourseraorgspecializationsacademicenglish,punctuation essay writing academic writing writing
91,beginner,4.7,supply chain management,['specialization'],httpswwwcourseraorgspecializationssupplychainmanagement,forecasting logistics supply chain lean six sigma supply chain risk management
92,mixed,4.7,finanzas personales,['course'],httpswwwcourseraorglearnfinanzaspersonales,personal advertisement personal finance budget credit
93,intermediate,4.5,machine learning with tensorflow on google cloud platform,['specialization'],httpswwwcourseraorgspecializationsmachinelearningtensorflowgcp,tensorflow machine learning feature engineering cloud computing
94,beginner,4.7,business statistics and analysis,['specialization'],httpswwwcourseraorgspecializationsbusinessstatisticsanalysis,microsoft excel linear regression statistical hypothesis testing
95,beginner,4.8,entrepreneurship,['specialization'],httpswwwcourseraorgspecializationswhartonentrepreneurship,growth strategies exit strategy finance entrepreneurship
96,beginner,4.7,leading people and teams,['specialization'],httpswwwcourseraorgspecializationsleadingteams,vision alignment talent management goals and rewards motivate employees leadership
97,intermediate,4.8,full stack web and multiplatform mobile app development,['specialization'],httpswwwcourseraorgspecializationsfullstackmobileappdevelopment,bootstrap frontend framework ionic mobile app framework nodejs angularjs
98,beginner,4.6,social media marketing,['specialization'],httpswwwcourseraorgspecializationssocialmediamarketing,business planning digital marketing social media marketing influencer marketing analytics
99,beginner,4.8,user experience research and design,['specialization'],httpswwwcourseraorgspecializationsmichiganux,user experience research and design
100,beginner,4.7,aws fundamentals going cloudnative,['course'],httpswwwcourseraorglearnawsfundamentalsgoingcloudnative,cloud computing security aws cloud cloud storage cloud networking cloud computing
101,intermediate,4.4,genomic data science,['specialization'],httpswwwcourseraorgspecializationsgenomicdatascience,bioconductor biopython python programming r programming galaxy
102,beginner,4.7,construction management,['specialization'],httpswwwcourseraorgspecializationsconstructionmanagement,schedule finance cost control cost estimate
103,beginner,4.5,big data,['specialization'],httpswwwcourseraorgspecializationsbigdata,big data neo4j mongodb apache spark
104,beginner,4.7,cisco networking basics,['specialization'],httpswwwcourseraorgspecializationsnetworkingbasics,home network network protocols troubleshooting communications protocol
105,beginner,4.6,design thinking for innovation,['course'],httpswwwcourseraorglearnuvadardendesignthinkinginnovation,strategic thinking design thinking innovation management design management innovation
106,advanced,4.7,selfdriving cars,['specialization'],httpswwwcourseraorgspecializationsselfdrivingcars,selfdriving cars
107,beginner,4.6,creative writing,['specialization'],httpswwwcourseraorgspecializationscreativewriting,short story writing fiction writing creativity copy editing
108,beginner,4.5,it fundamentals for cybersecurity,['specialization'],httpswwwcourseraorgspecializationsitfundamentalscybersecurity,operating system security database vulnerabilities cybersecurity networking basics cyber attacks
109,intermediate,4.8,regulatory compliance,['specialization'],httpswwwcourseraorgspecializationsregulatorycompliance,risk management business strategy compliance human resources management
110,mixed,4.8,learning how to learn powerful mental tools to help you master tough subjects,['course'],httpswwwcourseraorglearnlearninghowtolearn,test preparation learning to learn pomodoro technique meta learning
111,beginner,4.9,improving deep neural networks hyperparameter tuning regularization and optimization,['course'],httpswwwcourseraorglearndeepneuralnetwork,hyperparameter tensorflow hyperparameter optimization deep learning
112,beginner,4.7,strategic leadership and management,['specialization'],httpswwwcourseraorgspecializationsstrategicleadership,strategic management negotiation leadership business strategy
113,beginner,4.8,sas programmer,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatessasprogramming,base sas sas functions sas programming sas data sets
114,beginner,4.6,the business of health care,['specialization'],httpswwwcourseraorgspecializationshealthcareadministrationmanagement,insurance health economics
115,beginner,4.6,open source tools for data science,['course'],httpswwwcourseraorglearnopensourcetoolsfordatascience,open source tools for data science
116,beginner,4.8,futures thinking,['specialization'],httpswwwcourseraorgspecializationsfuturesthinking,strategic foresight simulation scenario design future forecasting
117,beginner,4.5,statistics with python,['specialization'],httpswwwcourseraorgspecializationsstatisticswithpython,python programming data visualization dataviz statistical model statistical inference methods
118,beginner,4.7,blockchain revolution,['specialization'],httpswwwcourseraorgspecializationsblockchainrevolutionenterprise,blockchain revolution
119,beginner,4.9,introduction to psychology,['course'],httpswwwcourseraorglearnintroductionpsychology,reasoning problem solving abstract thinking analytical thinking critical thinking
120,beginner,4.5,executive data science,['specialization'],httpswwwcourseraorgspecializationsexecutivedatascience,data science data management data analysis communication leadership
121,intermediate,4.7,google cloud platform fundamentals core infrastructure,['course'],httpswwwcourseraorglearngcpfundamentals,google compute engine google app engine gae google cloud platform cloud computing
122,advanced,4.3,advanced data science with ibm,['specialization'],httpswwwcourseraorgspecializationsadvanceddatascienceibm,data science internet of things iot deep learning apache spark
123,beginner,4.9,excelvba for creative problem solving,['specialization'],httpswwwcourseraorgspecializationsexcelvbacreativeproblemsolving,microsoft excel vba computer programming problem solving arrays
124,intermediate,4.6,machine learning,['specialization'],httpswwwcourseraorgspecializationsmachinelearning,data clustering algorithms machine learning classification algorithms decision tree
125,beginner,4.7,investment management with python and machine learning,['specialization'],httpswwwcourseraorgspecializationsinvestmentmanagementpythonmachinelearning,risk management portfolio construction and analysis python programming skills implementation of data science techniques in investment decisions portfolio optimization
126,beginner,4.7,fundamentals of project planning and management,['course'],httpswwwcourseraorglearnuvadardenprojectmanagement,risk analysis project planning planning management project management
127,beginner,4.6,python for data science and ai,['course'],httpswwwcourseraorglearnpythonforapplieddatascienceai,data science python programming numpy pandas
128,mixed,4.9,python data structures,['course'],httpswwwcourseraorglearnpythondata,python syntax and semantics data structure tuple python programming
129,beginner,4.9,writing in the sciences,['course'],httpswwwcourseraorglearnsciwrite,grammar medical writing science communication writing
130,beginner,4.7,achieving personal and professional success,['specialization'],httpswwwcourseraorgspecializationswhartonsuccess,achieving personal and professional success
131,intermediate,4.8,web applications for everybody,['specialization'],httpswwwcourseraorgspecializationswebapplications,jquery web application development hypertext preprocessor php javascript mysql
132,beginner,4.6,an introduction to programming the internet of things iot,['specialization'],httpswwwcourseraorgspecializationsiot,arduino python programming internet of things iot raspberry pi
133,beginner,4.6,software design and architecture,['specialization'],httpswwwcourseraorgspecializationssoftwaredesignarchitecture,software architecture java software design pattern objectoriented programming oop
134,intermediate,4.6,blockchain,['specialization'],httpswwwcourseraorgspecializationsblockchain,smart contract ethereum blockchains solidity
135,beginner,4.8,financial accounting fundamentals,['course'],httpswwwcourseraorglearnuvadardenfinancialaccounting,financial accounting accounting financial statement balance sheet
136,beginner,4.8,fundamentals of computing,['specialization'],httpswwwcourseraorgspecializationscomputerfundamentals,recursion algorithms python programming dynamic programming
137,beginner,4.7,the bits and bytes of computer networking,['course'],httpswwwcourseraorglearncomputernetworking,domain name system dns ipv4 network model troubleshooting
138,mixed,4.8,indigenous canada,['course'],httpswwwcourseraorglearnindigenouscanada,art history art history mythology
139,beginner,4.6,from data to insights with google cloud platform,['specialization'],httpswwwcourseraorgspecializationsfromdatatoinsightsgooglecloudplatform,bigquery machine learning data visualization dataviz sql
140,intermediate,4.3,data science statistics and machine learning,['specialization'],httpswwwcourseraorgspecializationsdatasciencestatisticsmachinelearning,machine learning github r programming regression analysis data visualization dataviz
141,beginner,4.7,investment management,['specialization'],httpswwwcourseraorgspecializationsinvestmentmanagement,investment management risk management financial markets finance
142,beginner,4.7,digital product management modern fundamentals,['course'],httpswwwcourseraorglearnuvadardendigitalproductmanagement,productmarket fit product management design thinking innovation pipeline lean startup
143,beginner,4.7,финансовые инструменты для частного инвестора,['specialization'],httpswwwcourseraorgspecializationsfinansovyyeinstrumenty,personal finance financial markets finance investment
144,intermediate,4.5,interaction design,['specialization'],httpswwwcourseraorgspecializationsinteractiondesign,storyboarding heuristic evaluation r programming ab testing
145,intermediate,4.6,programming with google go,['specialization'],httpswwwcourseraorgspecializationsgooglegolang,programming with google go
146,beginner,4.5,introduction to discrete mathematics for computer science,['specialization'],httpswwwcourseraorgspecializationsdiscretemathematics,graph theory number theory cryptography probability
147,advanced,4.6,probabilistic graphical models,['specialization'],httpswwwcourseraorgspecializationsprobabilisticgraphicalmodels,inference bayesian network belief propagation graphical model
